winner,total_rounds,rounds_since_last_stuck,average_rounds_between_stuck,total_stuck_events
Player 1,35.0,17.0,15.0,3.0
Player 2,18.0,0.0,0.0,0.0
Player 1,67.0,1.0,9.444444444444445,9.0
Player 2,24.0,11.0,11.0,1.0
Player 1,28.0,17.0,17.0,1.0
Player 1,31.0,25.0,13.0,3.0
Player 1,19.0,0.0,0.0,0.0
Player 1,51.0,1.0,10.142857142857142,7.0
Player 2,20.0,5.0,5.0,1.0
Player 2,16.0,0.0,0.0,0.0
Player 2,18.0,0.0,0.0,0.0
Player 1,51.0,3.0,13.8,5.0
Player 1,20.0,0.0,0.0,0.0
Player 2,18.0,0.0,0.0,0.0
Player 1,21.0,0.0,0.0,0.0
Player 2,16.0,0.0,0.0,0.0
Player 2,22.0,0.0,0.0,0.0
Player 1,17.0,0.0,0.0,0.0
Player 2,33.0,21.0,14.0,2.0
Player 1,33.0,21.0,15.0,2.0
Player 1,26.0,9.0,9.0,1.0
Player 2,16.0,0.0,0.0,0.0
Player 1,46.0,19.0,20.333333333333332,3.0
Player 1,38.0,25.0,17.0,3.0
Player 1,93.0,17.0,15.444444444444445,9.0
Player 1,19.0,0.0,0.0,0.0
Player 1,20.0,5.0,5.0,1.0
Player 1,16.0,0.0,0.0,0.0
Player 2,19.0,0.0,0.0,0.0
Player 2,16.0,0.0,0.0,0.0
Player 2,19.0,0.0,0.0,0.0
Player 2,20.0,0.0,0.0,0.0
Player 1,20.0,0.0,0.0,0.0
Player 2,19.0,0.0,0.0,0.0
Player 2,28.0,13.0,9.0,2.0
Player 1,19.0,0.0,0.0,0.0
Player 2,21.0,0.0,0.0,0.0
Player 2,34.0,31.0,31.0,1.0
Player 2,20.0,0.0,0.0,0.0
Player 2,22.0,5.0,5.0,1.0
Player 1,17.0,0.0,0.0,0.0
Player 2,18.0,0.0,0.0,0.0
Player 2,28.0,19.0,19.0,1.0
Player 1,28.0,23.0,23.0,1.0
Player 1,20.0,0.0,0.0,0.0
Player 2,17.0,0.0,0.0,0.0
Player 1,19.0,0.0,0.0,0.0
Player 2,18.0,0.0,0.0,0.0
Player 2,15.0,0.0,0.0,0.0
Player 1,21.0,0.0,0.0,0.0
Player 2,20.0,0.0,0.0,0.0
Player 1,41.0,17.0,12.333333333333334,3.0
Player 2,44.0,25.0,14.333333333333334,3.0
Player 1,63.0,33.0,16.333333333333332,6.0
Player 1,34.0,19.0,11.666666666666666,3.0
Player 1,17.0,0.0,0.0,0.0
Player 2,63.0,13.0,20.0,4.0
Player 2,20.0,0.0,0.0,0.0
Player 2,16.0,0.0,0.0,0.0
Player 2,22.0,0.0,0.0,0.0
Player 1,27.0,11.0,9.0,2.0
Player 2,19.0,0.0,0.0,0.0
Player 1,65.0,17.0,17.8,5.0
Player 2,20.0,0.0,0.0,0.0
Player 2,23.0,1.0,3.0,2.0
Player 1,18.0,0.0,0.0,0.0
Player 2,18.0,0.0,0.0,0.0
Player 2,19.0,0.0,0.0,0.0
Player 1,34.0,23.0,16.0,2.0
Player 1,17.0,0.0,0.0,0.0
Player 1,20.0,0.0,0.0,0.0
Player 1,57.0,7.0,12.0,6.0
Player 2,19.0,0.0,0.0,0.0
Player 2,56.0,7.0,14.2,5.0
Player 1,21.0,0.0,0.0,0.0
Player 2,20.0,0.0,0.0,0.0
Player 1,48.0,5.0,13.0,5.0
Player 1,20.0,0.0,0.0,0.0
Player 1,24.0,19.0,19.0,1.0
Player 2,33.0,5.0,11.0,2.0
Player 1,37.0,19.0,14.333333333333334,3.0
Player 1,30.0,21.0,21.0,1.0
Player 1,20.0,0.0,0.0,0.0
Player 2,20.0,0.0,0.0,0.0
Player 1,29.0,15.0,15.0,1.0
Player 2,20.0,3.0,3.0,1.0
Player 1,18.0,0.0,0.0,0.0
Player 2,21.0,0.0,0.0,0.0
Player 1,19.0,0.0,0.0,0.0
Player 2,21.0,0.0,0.0,0.0
Player 2,22.0,1.0,1.0,1.0
Player 1,14.0,0.0,0.0,0.0
Player 1,38.0,1.0,17.0,2.0
Player 2,19.0,0.0,0.0,0.0
Player 1,37.0,13.0,16.0,2.0
Player 1,32.0,29.0,29.0,1.0
Player 1,26.0,25.0,25.0,1.0
Player 1,47.0,7.0,15.0,4.0
Player 1,18.0,0.0,0.0,0.0
Player 1,29.0,27.0,14.0,2.0
Player 2,18.0,0.0,0.0,0.0
Player 2,19.0,0.0,0.0,0.0
Player 2,20.0,0.0,0.0,0.0
Player 2,93.0,17.0,14.6,10.0
Player 1,21.0,0.0,0.0,0.0
Player 1,40.0,13.0,14.333333333333334,3.0
Player 1,19.0,0.0,0.0,0.0
Player 1,48.0,17.0,14.0,4.0
Player 1,32.0,3.0,13.666666666666666,3.0
Player 2,19.0,0.0,0.0,0.0
Player 2,44.0,15.0,17.666666666666668,3.0
Player 1,46.0,25.0,20.333333333333332,3.0
Player 1,38.0,7.0,11.0,4.0
Player 2,54.0,5.0,12.2,5.0
Player 1,44.0,3.0,13.0,5.0
Player 2,18.0,0.0,0.0,0.0
Player 1,41.0,1.0,12.333333333333334,3.0
Player 1,19.0,0.0,0.0,0.0
Player 2,18.0,0.0,0.0,0.0
Player 2,17.0,0.0,0.0,0.0
Player 2,17.0,0.0,0.0,0.0
Player 2,16.0,0.0,0.0,0.0
Player 1,21.0,0.0,0.0,0.0
Player 2,16.0,0.0,0.0,0.0
Player 2,21.0,0.0,0.0,0.0
Player 1,35.0,9.0,17.0,2.0
Player 2,46.0,33.0,17.0,3.0
Player 1,20.0,0.0,0.0,0.0
Player 1,31.0,23.0,14.0,2.0
Player 1,30.0,21.0,16.0,2.0
Player 1,31.0,19.0,12.333333333333334,3.0
Player 1,22.0,11.0,16.0,2.0
Player 1,17.0,0.0,0.0,0.0
Player 1,87.0,3.0,16.5,8.0
Player 1,59.0,27.0,16.2,5.0
Player 1,19.0,0.0,0.0,0.0
Player 1,51.0,13.0,12.666666666666666,6.0
Player 2,56.0,27.0,13.0,5.0
Player 2,50.0,11.0,14.2,5.0
Player 1,18.0,0.0,0.0,0.0
Player 2,41.0,23.0,13.0,3.0
Player 2,22.0,5.0,4.0,2.0
Player 1,22.0,7.0,7.0,1.0
Player 1,28.0,29.0,29.0,1.0
Player 1,18.0,0.0,0.0,0.0
Player 1,17.0,0.0,0.0,0.0
Player 1,31.0,27.0,17.0,2.0
Player 1,30.0,5.0,15.0,2.0
Player 1,34.0,17.0,12.0,2.0
Player 1,21.0,0.0,0.0,0.0
Player 2,19.0,0.0,0.0,0.0
Player 2,21.0,0.0,0.0,0.0
Player 2,27.0,11.0,11.0,1.0
Player 1,23.0,3.0,11.0,3.0
Player 1,26.0,11.0,11.0,1.0
Player 1,20.0,0.0,0.0,0.0
Player 1,37.0,1.0,13.666666666666666,3.0
Player 2,18.0,0.0,0.0,0.0
Player 1,19.0,0.0,0.0,0.0
Player 1,19.0,0.0,0.0,0.0
Player 1,57.0,29.0,17.4,5.0
Player 1,19.0,0.0,0.0,0.0
Player 1,69.0,17.0,15.571428571428571,7.0
Player 1,36.0,13.0,19.0,2.0
Player 1,17.0,0.0,0.0,0.0
Player 1,20.0,7.0,7.0,1.0
Player 1,54.0,19.0,13.0,5.0
Player 2,19.0,0.0,0.0,0.0
Player 1,19.0,0.0,0.0,0.0
Player 1,17.0,0.0,0.0,0.0
Player 2,20.0,0.0,0.0,0.0
Player 2,41.0,23.0,22.0,2.0
Player 2,33.0,9.0,15.0,2.0
Player 2,21.0,0.0,0.0,0.0
Player 2,21.0,0.0,0.0,0.0
Player 1,20.0,0.0,0.0,0.0
Player 1,19.0,0.0,0.0,0.0
Player 1,31.0,23.0,23.0,1.0
Player 2,19.0,0.0,0.0,0.0
Player 1,109.0,27.0,16.6,10.0
Player 1,19.0,0.0,0.0,0.0
Player 2,19.0,0.0,0.0,0.0
Player 1,38.0,27.0,21.0,2.0
Player 1,32.0,1.0,11.0,3.0
Player 1,29.0,3.0,13.0,2.0
Player 2,21.0,0.0,0.0,0.0
Player 1,57.0,9.0,13.333333333333334,6.0
Player 2,80.0,3.0,13.444444444444445,9.0
Player 2,18.0,0.0,0.0,0.0
Player 1,28.0,25.0,25.0,1.0
Player 1,18.0,1.0,1.0,1.0
Player 1,74.0,11.0,12.5,8.0
Player 2,19.0,0.0,0.0,0.0
Player 1,16.0,0.0,0.0,0.0
Player 1,24.0,7.0,7.0,1.0
Player 2,15.0,0.0,0.0,0.0
Player 2,17.0,0.0,0.0,0.0
Player 2,18.0,0.0,0.0,0.0
Player 1,20.0,0.0,0.0,0.0
Player 1,20.0,0.0,0.0,0.0
Player 1,19.0,0.0,0.0,0.0
Player 2,21.0,0.0,0.0,0.0
Player 1,46.0,5.0,14.0,4.0
Player 2,17.0,0.0,0.0,0.0
Player 1,16.0,0.0,0.0,0.0
Player 2,21.0,0.0,0.0,0.0
Player 1,69.0,29.0,19.333333333333332,6.0
Player 2,21.0,0.0,0.0,0.0
Player 2,37.0,7.0,9.5,4.0
Player 1,50.0,11.0,13.5,4.0
Player 1,21.0,0.0,0.0,0.0
Player 2,45.0,11.0,14.333333333333334,3.0
Player 1,26.0,9.0,7.0,2.0
Player 1,21.0,0.0,0.0,0.0
Player 2,22.0,0.0,0.0,0.0
Player 1,21.0,0.0,0.0,0.0
Player 2,15.0,0.0,0.0,0.0
Player 2,17.0,0.0,0.0,0.0
Player 1,21.0,0.0,0.0,0.0
Player 1,16.0,11.0,11.0,1.0
Player 2,19.0,0.0,0.0,0.0
Player 2,16.0,0.0,0.0,0.0
Player 1,21.0,0.0,0.0,0.0
Player 1,21.0,0.0,0.0,0.0
Player 1,20.0,0.0,0.0,0.0
Player 2,21.0,0.0,0.0,0.0
Player 1,15.0,0.0,0.0,0.0
Player 2,13.0,0.0,0.0,0.0
Player 2,26.0,19.0,19.0,1.0
Player 1,21.0,0.0,0.0,0.0
Player 1,41.0,5.0,13.0,4.0
Player 1,17.0,0.0,0.0,0.0
Player 1,20.0,9.0,9.0,1.0
Player 1,20.0,0.0,0.0,0.0
Player 2,13.0,0.0,0.0,0.0
Player 1,43.0,19.0,15.666666666666666,3.0
Player 1,19.0,0.0,0.0,0.0
Player 2,17.0,0.0,0.0,0.0
Player 1,21.0,0.0,0.0,0.0
Player 1,32.0,7.0,11.5,4.0
Player 1,17.0,0.0,0.0,0.0
Player 1,35.0,23.0,14.333333333333334,3.0
Player 2,22.0,0.0,0.0,0.0
Player 1,21.0,0.0,0.0,0.0
Player 1,40.0,19.0,17.666666666666668,3.0
Player 1,34.0,11.0,19.0,2.0
Player 1,16.0,0.0,0.0,0.0
Player 1,20.0,0.0,0.0,0.0
Player 2,19.0,1.0,1.0,1.0
Player 2,22.0,0.0,0.0,0.0
Player 2,19.0,0.0,0.0,0.0
Player 2,31.0,25.0,25.0,1.0
Player 2,21.0,0.0,0.0,0.0
Player 2,17.0,0.0,0.0,0.0
Player 2,53.0,9.0,13.333333333333334,6.0
Player 1,55.0,23.0,20.0,4.0
